"Summary","Description","Status","Issue Type","Priority","Task","Epic"
"Build staff read-only view","Create a staff page that only shows data covered by active sharing permission Done when: Staff cannot search download or view anything outside the permission Useful files: docs/ROADMAP.md","Planned","Task","High","Build staff read-only view","Sharing privacy and audit"
"Build audit event service","Record views uploads downloads questions sharing exports deletion and security events Done when: Events include who what when result and request ID without raw document text Useful files: docs/BACKEND.md","Planned","Task","Highest","Build audit event service","Sharing privacy and audit"
"Connect audit screen to API","Replace simulated audit entries with searchable server audit events Done when: Users see only the audit events they are allowed to see Useful files: frontend/src/components/FolioApp.tsx","Planned","Task","High","Connect audit screen to API","Sharing privacy and audit"
"Build data export","Allow a student to request a copy of their Folio data Done when: The export includes authorized metadata documents extracted data sharing history and audit data Useful files: docs/PRD.md","Planned","Task","High","Build data export","Sharing privacy and audit"
"Build data deletion request","Allow a student to request deletion of documents and derived search data Done when: Deletion removes source and searchable derived data while keeping required audit records Useful files: docs/PRD.md","Planned","Task","Highest","Build data deletion request","Sharing privacy and audit"
"Hide sensitive information from logs","Ensure passwords tokens document contents prompts and answers are not written to normal logs Done when: Automated tests show sensitive values are redacted Useful files: docs/BACKEND.md; docs/DEVELOPMENT.md","Planned","Task","Highest","Hide sensitive information from logs","Sharing privacy and audit"
"Test privacy and access","Test sharing expiry revocation export deletion and cross-user access Done when: All privacy tests pass and unauthorized access is blocked Useful files: docs/BACKEND.md","Planned","Task","Highest","Test privacy and access","Sharing privacy and audit"
"Testing and release","Prepare Folio for a safe student pilot Done when: The main student journey works and the release decision is documented Useful files: docs/ROADMAP.md; docs/progress.md","Planned","Epic","Highest","Testing and release","Testing and release"
"Run full student journey test","Test login upload processing document view question deadline sharing export and deletion Done when: The complete journey passes with synthetic data Useful files: docs/DEVELOPMENT.md","Planned","Task","Highest","Run full student journey test","Testing and release"
"Add health and monitoring","Track API errors processing failures queue size response time storage and AI cost Done when: Operators can see failures without seeing private document contents Useful files: docs/BACKEND.md; docs/RAILWAY.md","Planned","Task","High","Add health and monitoring","Testing and release"
"Write backup and incident guides","Write simple instructions for restoring data handling provider outages compromised links and POPIA requests Done when: Each guide has steps owner checks and rollback instructions Useful files: docs/BACKEND.md; docs/RAILWAY.md","Planned","Task","High","Write backup and incident guides","Testing and release"
"Check Railway deployment","Deploy the frontend backend and database and verify their health Done when: Build succeeds health endpoint works migrations run and no secrets appear in logs Useful files: docs/RAILWAY.md; README.md","Planned","Task","High","Check Railway deployment","Testing and release"
"Update project progress","Record completed work test evidence blockers and next tasks in the progress document Done when: docs/progress.md matches the actual repository state Useful files: docs/progress.md","Planned","Task","Medium","Update project progress","Testing and release"
"Run pilot readiness meeting","Review security privacy support costs rollback and unresolved decisions before real student data Done when: The team records an approve or block decision and assigns owners to risks Useful files: docs/ROADMAP.md; docs/DEVELOPMENT.md","Planned","Task","Highest","Run pilot readiness meeting","Testing and release"
