Issue Key,Issue Type,Task,What to build,Area,Priority,Status,Depends on,Done when,Useful files
FOLIO-S040,Task,Show processing progress in frontend,Connect document details and upload flow to processing status,Frontend,High,Planned,FOLIO-S039,Users see progress success failure retry and review-required states,frontend/src/components/FolioApp.tsx
FOLIO-S041,Task,Test processing recovery,Test duplicate jobs worker restart timeout retry exhaustion and poison jobs,Testing,High,Planned,FOLIO-S038,Processing tests pass and no duplicate results are created,docs/DEVELOPMENT.md
FOLIO-S042,Epic,OCR and document understanding,Read documents and extract useful information with source references,AI Processing,High,Planned,FOLIO-S035,Test documents produce text type summary facts and confidence values,docs/ROADMAP.md
FOLIO-S043,Task,Connect OCR service,Add a provider interface for reading text from normal and scanned documents,AI Processing,High,Planned,FOLIO-S042,The OCR provider can be changed without rewriting the rest of the app,docs/BACKEND.md
FOLIO-S044,Task,Classify document type,Identify NSFAS bursary fee bank appeal or unknown documents,AI Processing,High,Planned,FOLIO-S043,The result includes a type confidence score and parser version,docs/ROADMAP.md
FOLIO-S045,Task,Extract important facts,Extract amounts dates conditions institutions actions and funding status,AI Processing,Highest,Planned,FOLIO-S044,Each fact includes confidence page number and text location,docs/PRD.md; docs/BACKEND.md
FOLIO-S046,Task,Create document summary,Create a plain-language summary from extracted information,AI Processing,High,Planned,FOLIO-S045,Summary claims link to source evidence and missing information is clearly shown,docs/PRD.md
FOLIO-S047,Task,Mark uncertain results for review,Send low-confidence documents or facts to a review-required state,AI Processing,High,Planned,FOLIO-S045,Uncertain results are not presented as confirmed facts,docs/ROADMAP.md
FOLIO-S048,Task,Create extraction test documents,Make synthetic examples for NSFAS bursary fee bank appeal clean PDF and scanned PDF,Testing,High,Planned,FOLIO-S043,The test set contains no real student documents,docs/ROADMAP.md
FOLIO-S049,Task,Measure extraction quality,Measure how often extracted types facts and dates are correct,Testing,Medium,Planned,FOLIO-S048,The project has a report showing accuracy speed and cost by document type,docs/ROADMAP.md
FOLIO-S050,Task,Show real extracted data,Replace simulated document details with OCR and extraction results,Frontend,High,Planned,FOLIO-S045,Users can open each fact's source page or passage,frontend/src/components/FolioApp.tsx
FOLIO-S051,Epic,Ask questions safely,Answer questions only from documents the current user may access,AI Processing,Highest,Planned,FOLIO-S020,Every answer has a source or clearly says Folio cannot answer,docs/PRD.md; docs/BACKEND.md
FOLIO-S052,Task,Split text into searchable chunks,Split document text into page-aware searchable pieces,AI Processing,High,Planned,FOLIO-S043,Each chunk stores document page owner and version information,docs/BACKEND.md
FOLIO-S053,Task,Add document search,Search document titles facts and authorized text,Backend,High,Planned,FOLIO-S052,Search never returns another user's or deleted document text,docs/PRD.md
FOLIO-S054,Task,Add authorized retrieval,Apply user institution sharing and retention checks before searching,Security,Highest,Planned,FOLIO-S053,Unauthorized and revoked content is excluded every time,docs/BACKEND.md
FOLIO-S055,Task,Create question API,Build an API that receives a question and returns an answer with sources and confidence,Backend,Highest,Planned,FOLIO-S054,The response includes answer status citations confidence and safe errors,docs/BACKEND.md
FOLIO-S056,Task,Check answer citations,Reject answers when a cited passage was not actually retrieved,Security,Highest,Planned,FOLIO-S055,Answers with fake or missing citations are rejected,docs/BACKEND.md
FOLIO-S057,Task,Add cannot-answer responses,Return a clear response when evidence is missing conflicting old or too uncertain,AI Processing,High,Planned,FOLIO-S056,The system does not guess when evidence is insufficient,docs/PRD.md
FOLIO-S058,Task,Connect Ask screen to API,Replace simulated answers with real answers sources loading errors and feedback,Frontend,High,Planned,FOLIO-S055,Users can ask questions open sources see cannot-answer responses and rate answers,frontend/src/components/FolioApp.tsx
FOLIO-S059,Task,Test question security,Test cross-user questions revoked sharing prompt injection fake citations and empty search results,Testing,Highest,Planned,FOLIO-S056,All security tests fail closed,docs/BACKEND.md
FOLIO-S060,Epic,Deadlines and reminders,Turn dates and actions in documents into manageable student tasks,Deadlines,High,Planned,FOLIO-S045,Students can review edit complete dismiss and later receive reminders,docs/PRD.md; docs/ROADMAP.md
FOLIO-S061,Task,Find deadline candidates,Find actions dates timezones and confidence values in extracted documents,Backend,High,Planned,FOLIO-S045,Each candidate points to the source document and page,docs/BACKEND.md
FOLIO-S062,Task,Build deadline update API,Allow students to confirm edit dismiss complete and restore a deadline,Backend,High,Planned,FOLIO-S061,Changes are saved safely and original extracted evidence stays available,docs/PRD.md
FOLIO-S063,Task,Connect deadlines to frontend,Replace simulated deadline actions with real API data,Frontend,High,Planned,FOLIO-S062,Timeline shows loading error empty upcoming overdue and completed states,frontend/src/components/FolioApp.tsx
FOLIO-S064,Task,Add reminder settings,Allow students to choose whether and when reminders are sent,Backend,High,Planned,FOLIO-S062,No reminder is sent unless the student opted in and confirmed the deadline,docs/PRD.md
FOLIO-S065,Task,Test deadlines and reminders,Test editing completion duplicate reminders timezones and opt-out,Testing,High,Planned,FOLIO-S064,Deadline and reminder tests pass,docs/ROADMAP.md
FOLIO-S066,Epic,Sharing privacy and audit,Allow limited sharing and give students control over their data,Privacy,Highest,Planned,FOLIO-S022,Sharing export deletion and audit features work with synthetic data,docs/PRD.md; docs/BACKEND.md
FOLIO-S067,Task,Create sharing permission API,Let a student share selected documents or summaries with a named staff member for a purpose and expiry,Backend,Highest,Planned,FOLIO-S022,Staff access is limited to the selected scope and expiry date,docs/PRD.md
FOLIO-S068,Task,Add revoke sharing,Let students revoke access immediately,Backend,Highest,Planned,FOLIO-S067,Revoked access fails on the next request and the event is audited,docs/PRD.md
FOLIO-S069,Task,Build staff read-only view,Create a staff page that only shows data covered by active sharing permission,Frontend,High,Planned,FOLIO-S067,Staff cannot search download or view anything outside the permission,docs/ROADMAP.md
FOLIO-S070,Task,Build audit event service,Record views uploads downloads questions sharing exports deletion and security events,Backend,Highest,Planned,FOLIO-S022,Events include who what when result and request ID without raw document text,docs/BACKEND.md
FOLIO-S071,Task,Connect audit screen to API,Replace simulated audit entries with searchable server audit events,Frontend,High,Planned,FOLIO-S070,Users see only the audit events they are allowed to see,frontend/src/components/FolioApp.tsx
FOLIO-S072,Task,Build data export,Allow a student to request a copy of their Folio data,Backend,High,Planned,FOLIO-S022,The export includes authorized metadata documents extracted data sharing history and audit data,docs/PRD.md
FOLIO-S073,Task,Build data deletion request,Allow a student to request deletion of documents and derived search data,Backend,Highest,Planned,FOLIO-S022,Deletion removes source and searchable derived data while keeping required audit records,docs/PRD.md
FOLIO-S074,Task,Hide sensitive information from logs,Ensure passwords tokens document contents prompts and answers are not written to normal logs,Security,Highest,Planned,FOLIO-S070,Automated tests show sensitive values are redacted,docs/BACKEND.md; docs/DEVELOPMENT.md
FOLIO-S075,Task,Test privacy and access,Test sharing expiry revocation export deletion and cross-user access,Testing,Highest,Planned,FOLIO-S073,All privacy tests pass and unauthorized access is blocked,docs/BACKEND.md
FOLIO-S076,Epic,Testing and release,Prepare Folio for a safe student pilot,Release,Highest,Planned,FOLIO-S075,The main student journey works and the release decision is documented,docs/ROADMAP.md; docs/progress.md
FOLIO-S077,Task,Run full student journey test,Test login upload processing document view question deadline sharing export and deletion,Testing,Highest,Planned,FOLIO-S075,The complete journey passes with synthetic data,docs/DEVELOPMENT.md
FOLIO-S078,Task,Add health and monitoring,Track API errors processing failures queue size response time storage and AI cost,Operations,High,Planned,FOLIO-S038,Operators can see failures without seeing private document contents,docs/BACKEND.md; docs/RAILWAY.md
FOLIO-S079,Task,Write backup and incident guides,Write simple instructions for restoring data handling provider outages compromised links and POPIA requests,Operations,High,Planned,FOLIO-S078,Each guide has steps owner checks and rollback instructions,docs/BACKEND.md; docs/RAILWAY.md
FOLIO-S080,Task,Check Railway deployment,Deploy the frontend backend and database and verify their health,Operations,High,Planned,FOLIO-S079,Build succeeds health endpoint works migrations run and no secrets appear in logs,docs/RAILWAY.md; README.md
FOLIO-S081,Task,Update project progress,Record completed work test evidence blockers and next tasks in the progress document,Documentation,Medium,Planned,FOLIO-S077,docs/progress.md matches the actual repository state,docs/progress.md
FOLIO-S082,Task,Run pilot readiness meeting,Review security privacy support costs rollback and unresolved decisions before real student data,Release,Highest,Planned,FOLIO-S077; FOLIO-S080,The team records an approve or block decision and assigns owners to risks,docs/ROADMAP.md; docs/DEVELOPMENT.md
