Issue Key,Issue Type,Summary,Description,Epic,Priority,Status,Sprint,Dependencies,Acceptance Criteria,Labels,Implementation Area,Source References
FOLIO-D011,Task,Create document and version migrations,Add documents document_versions and processing_attempts tables with checksum status parser version retention and error fields,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D010,"A document can have multiple attempts; status and parser version are stored per attempt; checksum is indexed",database documents,"backend/src/main/resources/db/migration","docs/BACKEND.md 3 4; docs/ROADMAP.md 1.2"
FOLIO-D012,Task,Create extracted entity and chunk migrations,Add extracted_entities and document_chunks tables with page offsets bounding boxes source hash embedding reference and visibility scope,Trusted Intelligence,Highest,Planned,Sprint 2,FOLIO-D011,"Each derived value links to a version and provenance; raw source text is not copied into audit tables",database provenance,"backend/src/main/resources/db/migration","docs/BACKEND.md 3 7; docs/ROADMAP.md 2.2 2.3"
FOLIO-D013,Task,Create deadline question citation consent audit migrations,Add tables for deadlines questions citations consents and audit events with required actor scope status and timestamps,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-D011,"Migrations enforce required ownership and lifecycle fields; consent expiry and audit retention are queryable",database privacy,"backend/src/main/resources/db/migration","docs/BACKEND.md 3 5; docs/PRD.md Privacy and audit"
FOLIO-D014,Task,Implement document repositories with ownership predicates,Add repository queries for paginated lists filters detail and safe not-found behavior scoped by owner tenant consent retention and role,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D011,"Repository tests prove cross-user records never appear; category status date and confidence filters work",backend database security,"backend/src/main/java/za/co/folio","docs/PRD.md Vault and search; docs/BACKEND.md 6 7"
FOLIO-D015,Task,Implement document metadata service,Create service methods for create list detail and deletion-request initiation with validation and audit hooks,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D014,"Service rejects invalid ownership and lifecycle transitions; successful operations emit defined audit events",backend documents,"backend/src/main/java/za/co/folio","docs/BACKEND.md 5; docs/ROADMAP.md 1.2"
FOLIO-D016,Task,Replace placeholder document controller,Replace empty list not-implemented detail and filename-only upload responses with typed service-backed endpoints,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D015,"GET list is paginated and authorized; GET detail returns authorized metadata; errors use problem format",backend api,"backend/src/main/java/za/co/folio/api/DocumentController.java","docs/BACKEND.md 5; current scaffold"
FOLIO-D017,Epic,Private file intake,Upload supported documents directly to encrypted object storage with validation scanning checksums and signed access,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D010,"Synthetic files upload and complete through storage handoff without cross-user access",storage security,"backend/src/main/java/za/co/folio; frontend/src/components/FolioApp.tsx","docs/PRD.md Document intake; docs/BACKEND.md 5 6; docs/ROADMAP.md 1.3"
FOLIO-D018,Task,Define storage provider adapter and private key policy,Implement S3-compatible adapter configuration for bucket encryption tenant/user prefixes and separate derived-object retention,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D017,"Objects use generated private keys; encryption and retention metadata are applied; provider credentials stay server-side",backend storage,"backend/src/main/java/za/co/folio; backend/src/main/resources/application.yml","docs/BACKEND.md 2 6; docs/RAILWAY.md"
FOLIO-D019,Task,Implement signed upload URL endpoint,Validate requested metadata and issue short-lived signed upload details for direct browser-to-storage uploads,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D018,"Expired or reused upload URLs fail; content type size and key constraints are enforced",backend storage api,"backend/src/main/java/za/co/folio/api","docs/BACKEND.md 5 6; docs/PRD.md Document intake"
FOLIO-D020,Task,Implement client-side upload validation and progress,Validate file size and allowed types before upload and report progress cancel retry and failure states,Secure Pilot Foundation,High,Planned,Sprint 1,FOLIO-D019,"PDF DOCX JPEG and PNG pass; unsupported oversized files show actionable errors; retry does not duplicate records",frontend documents,"frontend/src/components/FolioApp.tsx; frontend/app/globals.css","docs/FRONTEND.md 2 3; docs/ROADMAP.md 1.3"
FOLIO-D021,Task,Implement upload completion callback and checksum verification,Confirm object existence calculate or verify checksum create document version and enqueue scanning,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D019,"Missing object wrong checksum and duplicate completion are rejected or safely idempotent",backend storage,"backend/src/main/java/za/co/folio/api","docs/BACKEND.md 5 6; docs/PRD.md Document intake"
FOLIO-D022,Task,Implement content-signature and malware gate,Inspect file signatures and scan results before OCR; map unsafe corrupted and unsupported files to safe failure categories,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D021,"Extension spoofing corrupted files and malware-positive files are blocked; raw file content is absent from logs",security storage,"backend/src/main/java/za/co/folio","docs/BACKEND.md 6; docs/ROADMAP.md 1.3"
FOLIO-D023,Task,Implement signed preview and download URLs,Issue short-lived URLs with restricted content disposition and content type after authorization,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D018,"Authorized preview works; unauthorized and expired URLs fail; download access creates an audit event",backend storage security,"backend/src/main/java/za/co/folio/api","docs/BACKEND.md 5 6; docs/PRD.md Privacy and audit"
FOLIO-D024,Task,Add private-storage integration tests,Cover URL expiry object isolation wrong content type checksum mismatch malware rejection and duplicate completion,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D023,"All storage security cases pass against local test storage or a provider emulator",qa storage security,"backend/src/test","docs/DEVELOPMENT.md 8; docs/ROADMAP.md 1.3"
FOLIO-D025,Epic,Asynchronous processing pipeline,Process document versions through explicit idempotent queue-backed stages with leases retries and safe failures,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D021,"Worker state transitions and failure recovery are covered by tests",processing worker,"backend/src/main/java/za/co/folio","docs/BACKEND.md 4; docs/ROADMAP.md 1.4"
FOLIO-D026,Task,Implement processing state enum and transition validator,Define monotonic UPLOADED SCANNING OCR CLASSIFYING EXTRACTING INDEXING READY REVIEW_REQUIRED and FAILED transitions,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D025,"Illegal backward transitions are rejected; retry creates a new attempt while prior results remain auditable",backend processing,"backend/src/main/java/za/co/folio","docs/BACKEND.md 4; docs/PRD.md Processing and extraction"
FOLIO-D027,Task,Implement queue job and processing lease model,Add job payload IDs lease expiry attempt version and stage fields with safe claim and release behavior,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D026,"Only one worker owns a live lease; expired leases can be recovered; duplicate messages do not duplicate output",backend worker,"backend/src/main/java/za/co/folio","docs/BACKEND.md 2 4"
FOLIO-D028,Task,Implement retry and dead-letter policy,Add bounded retries safe error categories exponential backoff and poison-message dead-letter handling,Secure Pilot Foundation,High,Planned,Sprint 1,FOLIO-D027,"Transient failures retry within limits; permanent failures stop safely with user-visible retry guidance",backend worker,"backend/src/main/java/za/co/folio","docs/BACKEND.md 4; docs/ROADMAP.md 1.4"
FOLIO-D029,Task,Implement processing status API,Expose current stage percentage safe error category retry count and review-required reason without sensitive content,Secure Pilot Foundation,High,Planned,Sprint 1,FOLIO-D026,"Authorized clients can poll status; unauthorized users cannot infer document state",backend api,"backend/src/main/java/za/co/folio/api","docs/BACKEND.md 5; docs/FRONTEND.md 4"
FOLIO-D030,Task,Add worker idempotency and restart tests,Test duplicate jobs worker restart timeout partial write retry exhaustion and poison messages,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D028,"Worker tests demonstrate no duplicate derived records and no lost metadata after restart",qa worker,"backend/src/test","docs/BACKEND.md 8; docs/ROADMAP.md 1.4"
FOLIO-D031,Epic,Frontend server-state integration,Replace simulated document question deadline and security state with typed API-backed state and complete UX states,Secure Pilot Foundation,High,Planned,Sprint 1,FOLIO-D016,"Frontend integration tests and production build pass",frontend api,"frontend/src/components/FolioApp.tsx; frontend/app/page.tsx","docs/FRONTEND.md 2 3; docs/DEVELOPMENT.md 6"
FOLIO-D032,Task,Create typed API client and problem normalizer,Add request functions auth headers request IDs response types and consistent error mapping,Secure Pilot Foundation,High,Planned,Sprint 1,FOLIO-D031,"No API call uses any; problem codes map to user-safe messages; request ID is available for support",frontend api,"frontend/src; frontend/app","docs/FRONTEND.md 3; docs/DEVELOPMENT.md 7"
FOLIO-D033,Task,Create routed dashboard and document pages,Add deep-linkable / /documents and /documents/[id] routes with refresh-safe access checks and generic not-found state,Secure Pilot Foundation,High,Planned,Sprint 1,FOLIO-D032,"Direct navigation and refresh preserve page state; missing and unauthorized IDs share a generic not-found experience",frontend routing,"frontend/app; frontend/src/components","docs/FRONTEND.md 4; docs/ROADMAP.md 0.2"
FOLIO-D034,Task,Integrate document list filters and pagination,Connect category status date confidence filters and pagination to authorized API data,Secure Pilot Foundation,High,Planned,Sprint 1,FOLIO-D032,"Filter changes update results; empty and error states are distinct; no client-side unauthorized records appear",frontend documents,"frontend/src/components/FolioApp.tsx","docs/PRD.md Vault and search; docs/FRONTEND.md 3"
FOLIO-D035,Task,Integrate document detail provenance tabs,Render server summary entities OCR JSON preview and source links with explicit missing-evidence and review-required states,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-D034,"Every displayed extracted value links to page/passage evidence or states why evidence is unavailable",frontend provenance,"frontend/src/components/FolioApp.tsx; frontend/app/globals.css","docs/PRD.md Processing and extraction; docs/ROADMAP.md 0.5"
FOLIO-D036,Task,Implement processing polling with cancellation and backoff,Poll document status until terminal state while preventing stale responses and providing retry controls,Secure Pilot Foundation,High,Planned,Sprint 1,FOLIO-D029,"Polling backs off; unmount cancels requests; READY FAILED and REVIEW_REQUIRED render correctly",frontend processing,"frontend/src; frontend/app","docs/FRONTEND.md 3; docs/ROADMAP.md 1.5"
FOLIO-D037,Task,Add frontend API contract tests,Test list detail upload status error forbidden and pagination response shapes against backend contracts,Secure Pilot Foundation,High,Planned,Sprint 1,FOLIO-D032,"Contract tests fail on incompatible response changes and pass for documented API shapes",qa frontend,"frontend; backend","docs/DEVELOPMENT.md 8; docs/ROADMAP.md 1.5"
FOLIO-D038,Epic,OCR classification and extraction,Turn source files into versioned text categories summaries entities and evidence coordinates with calibrated confidence,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-D030,"Evaluation dataset meets approved quality thresholds and low confidence is reviewable",ai processing,"backend/src/main/java/za/co/folio","docs/BACKEND.md 4; docs/ROADMAP.md 2.1 2.2"
FOLIO-D039,Task,Implement OCR provider adapter interface,Define provider-neutral OCR request response error and page-text contracts with timeout and retry mapping,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-D038,"Provider can be swapped without changing domain services; failures map to safe categories",backend ai,"backend/src/main/java/za/co/folio","docs/BACKEND.md 2 4; docs/ROADMAP.md 2.1"
FOLIO-D040,Task,Add scanned-image preprocessing and OCR stage,Detect scanned inputs preprocess pages and persist OCR output with parser version and page references,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-D039,"Clean and low-quality scans are handled; page numbers and OCR version persist; provider outage is recoverable",backend ai,"backend/src/main/java/za/co/folio","docs/ROADMAP.md 2.1; docs/PRD.md Processing and extraction"
FOLIO-D041,Task,Implement document classification stage,Classify NSFAS bursary fee bank appeal and unknown documents with confidence and review threshold,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-D040,"Classification output includes category confidence parser version and source version; uncertain results route to review",backend ai,"backend/src/main/java/za/co/folio","docs/ROADMAP.md 2.1"
FOLIO-D042,Task,Implement entity extraction schema and service,Extract amounts dates conditions institutions recipients actions account purpose and funding status into normalized and display values,Trusted Intelligence,Highest,Planned,Sprint 2,FOLIO-D041,"Every field stores confidence source text hash page offsets optional bounding box and parser/model version",backend ai provenance,"backend/src/main/java/za/co/folio","docs/BACKEND.md 3; docs/ROADMAP.md 2.2"
FOLIO-D043,Task,Implement summary generation with evidence links,Generate plain-language summaries that reference source pages and mark missing or conflicting evidence,Trusted Intelligence,Highest,Planned,Sprint 2,FOLIO-D042,"Summary claims link to evidence; conflicting or insufficient inputs produce review or abstention text",backend ai provenance,"backend/src/main/java/za/co/folio","docs/PRD.md Product summary; docs/DEVELOPMENT.md 10"
FOLIO-D044,Task,Implement extraction confidence thresholds,Define configurable thresholds for ready versus review-required fields and document-level outputs,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-D042,"Threshold decisions are deterministic and tested; uncertain values are never shown as authoritative facts",backend ai quality,"backend/src/main/java/za/co/folio","docs/PRD.md Processing and extraction; docs/ROADMAP.md 2.2"
FOLIO-D045,Task,Build labelled extraction evaluation dataset,Create synthetic labelled samples covering NSFAS bursary fee bank appeal clean scan low-quality scan and varied layouts,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-D040,"Dataset contains labels for required fields and no real student documents or secrets",qa ai,"docs; backend/src/test","docs/ROADMAP.md 2.1 2.5; docs/DEVELOPMENT.md 5"
FOLIO-D046,Task,Measure extraction precision recall latency and cost,Add repeatable evaluation command and report by document type and field with approved thresholds,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-D045,"Report records precision recall latency cost and parser version; release gate is documented",qa ai operations,"backend; docs","docs/PRD.md Success metrics; docs/ROADMAP.md 2.5"
FOLIO-D047,Epic,Grounded retrieval and Q&A,Provide evidence-bound answers using mandatory authorization filters citation validation feedback abstention and abuse controls,Trusted Intelligence,Highest,Planned,Sprint 2,FOLIO-D012,"Security and quality tests pass for cross-user retrieval injection and weak evidence",ai retrieval security,"backend/src/main/java/za/co/folio; frontend/src/components/FolioApp.tsx","docs/BACKEND.md 7; docs/PRD.md Grounded Q&A; docs/ROADMAP.md 2.3 2.4"
FOLIO-D048,Task,Implement page-aware chunking,Split OCR into page-aware chunks with offsets document version and retrieval visibility metadata,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-D040,"Chunks retain page offsets source version ownership scope and stable IDs",backend retrieval,"backend/src/main/java/za/co/folio","docs/BACKEND.md 3 7; docs/ROADMAP.md 2.3"
FOLIO-D049,Task,Implement embedding provider adapter and vector indexing,Create versioned embedding requests and index document chunks with ownership and retention metadata,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-D048,"Embeddings link to chunk IDs; provider failure is retryable; direct index entries cannot omit scope metadata",backend retrieval,"backend/src/main/java/za/co/folio","docs/BACKEND.md 2 7; docs/ROADMAP.md 2.3"
FOLIO-D050,Task,Implement mandatory retrieval scope builder,Build owner tenant role consent retention and deletion scope before vector or keyword retrieval,Trusted Intelligence,Highest,Planned,Sprint 2,FOLIO-D049,"Scope is mandatory and cannot be bypassed by callers; revoked consent and expired retention exclude chunks",backend security retrieval,"backend/src/main/java/za/co/folio","docs/BACKEND.md 6 7; docs/PRD.md Grounded Q&A"
FOLIO-D051,Task,Implement keyword fallback with identical filters,Add authorized title entity and OCR-text fallback when vector search is unavailable,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-D050,"Fallback returns only scope-approved chunks and exposes provider-unavailable telemetry",backend retrieval,"backend/src/main/java/za/co/folio","docs/PRD.md Vault and search; docs/ROADMAP.md 2.3"
FOLIO-D052,Task,Implement question answer and citation API,Create question orchestration that persists metadata returns answer status evidence score citations and safe errors,Trusted Intelligence,Highest,Planned,Sprint 2,FOLIO-D050,"Question endpoint returns typed status citations confidence and abstention reason without raw prompt logging",backend ai api,"backend/src/main/java/za/co/folio/api","docs/BACKEND.md 5 7; docs/ROADMAP.md 2.4"
FOLIO-D053,Task,Implement citation validator and abstention policy,Reject citations not present in retrieved evidence and abstain for empty contradictory stale or low-confidence context,Trusted Intelligence,Highest,Planned,Sprint 2,FOLIO-D052,"No unsupported answer is returned as successful; each citation resolves to document page/passage evidence",backend ai security,"backend/src/main/java/za/co/folio","docs/BACKEND.md 7; docs/PRD.md Grounded Q&A"
FOLIO-D054,Task,Add grounded Q&A frontend integration and feedback,Connect /ask to API question history citations source navigation loading errors abstention and helpfulness feedback,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-D052,"User can ask a question, open each citation, see abstention, and submit feedback without exposing unauthorized text",frontend ai,"frontend/src/components/FolioApp.tsx; frontend/app","docs/FRONTEND.md 3; docs/ROADMAP.md 2.4"
FOLIO-D055,Task,Add retrieval security test suite,Cover cross-user data tenant bypass revoked consent deleted documents prompt injection and direct vector query without scope,Trusted Intelligence,Highest,Planned,Sprint 2,FOLIO-D053,"All unauthorized retrieval tests fail closed and no citation spoofing test passes",qa security,"backend/src/test","docs/BACKEND.md 8; docs/ROADMAP.md 2.3 2.4"
FOLIO-D056,Epic,Deadlines and notifications,Make extracted obligations reviewable editable complete and optionally remindable only after preference confirmation,Operations and Privacy,High,Planned,Sprint 3,FOLIO-D042,"Notifications respect preferences timezone consent and duplicate prevention",deadlines notifications,"backend/src/main/java/za/co/folio; frontend/src/components/FolioApp.tsx","docs/PRD.md Journey D; docs/ROADMAP.md 3.1"
FOLIO-D057,Task,Implement deadline candidate extraction,Derive action due date timezone confidence status and source reference from extracted entities and text,Operations and Privacy,High,Planned,Sprint 3,FOLIO-D042,"Candidates include evidence and uncertain dates are visibly uncertain",backend deadlines,"backend/src/main/java/za/co/folio","docs/BACKEND.md 3; docs/ROADMAP.md 2.1 3.1"
FOLIO-D058,Task,Implement deadline review and update API,Support confirm edit dismiss restore and complete transitions while preserving original extraction evidence,Operations and Privacy,High,Planned,Sprint 3,FOLIO-D057,"Transitions are idempotent and audited; original due date and source remain unchanged after edits",backend deadlines,"backend/src/main/java/za/co/folio/api","docs/BACKEND.md 5; docs/PRD.md Deadlines and actions"
FOLIO-D059,Task,Integrate deadline timeline and dashboard,Render overdue upcoming completed dismissed and uncertain states with source links and optimistic-safe refresh,Operations and Privacy,High,Planned,Sprint 3,FOLIO-D058,"Timeline reflects server state and handles loading empty error forbidden and processing states",frontend deadlines,"frontend/src/components/FolioApp.tsx","docs/FRONTEND.md 3; docs/ROADMAP.md 3.1"
FOLIO-D060,Task,Implement notification preferences and scheduler,Store opt-in preferences timezone schedule and opt-out; schedule reminders only for confirmed deadlines,Operations and Privacy,High,Planned,Sprint 3,FOLIO-D058,"No reminder is sent without preference and confirmed deadline; duplicate and timezone-boundary tests pass",backend notifications,"backend/src/main/java/za/co/folio","docs/PRD.md Deadlines and actions; docs/ROADMAP.md 3.1"
FOLIO-D061,Epic,Consent privacy and audit,Provide scoped staff access POPIA data rights immutable events redacted logs and lifecycle controls,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-D006,"Pilot privacy gate passes with no unauthorized access or raw sensitive logs",privacy security,"backend/src/main/java/za/co/folio; frontend/src/components/FolioApp.tsx","docs/PRD.md Privacy and audit; docs/BACKEND.md 6 9; docs/ROADMAP.md 3.2 3.3"
FOLIO-D062,Task,Implement consent grant and revocation API,Support recipient purpose scope expiry status grant revoke and immediate authorization enforcement,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-D013,"Expired or revoked consent denies future access immediately and each change is visible to the student",backend privacy,"backend/src/main/java/za/co/folio/api","docs/BACKEND.md 5 7; docs/PRD.md Journey E"
FOLIO-D063,Task,Implement read-only staff review scope,Provide staff views limited to active consent and role scope with download restrictions and access events,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-D062,"Staff cannot search or retrieve outside consent; scope escalation and expired consent tests fail closed",backend frontend privacy,"backend/src/main/java/za/co/folio; frontend/app","docs/PRD.md Users and personas; docs/ROADMAP.md 3.2"
FOLIO-D064,Task,Implement immutable audit event service,Record views downloads uploads Q&A shares consent exports deletions and security events without raw content,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-D013,"Events include actor subject action result request ID timestamp and retention class; event records cannot be edited",backend audit,"backend/src/main/java/za/co/folio","docs/BACKEND.md 3 9; docs/ROADMAP.md 0.8"
FOLIO-D065,Task,Replace security prototype with consent and audit API,Connect security screen search filters export controls consent status and session controls to server data,Operations and Privacy,High,Planned,Sprint 3,FOLIO-D064,"Security UI distinguishes loading empty error forbidden and successful audit results; export is authorized",frontend privacy,"frontend/src/components/FolioApp.tsx","docs/FRONTEND.md 3; docs/ROADMAP.md 0.8"
FOLIO-D066,Task,Implement privacy export job,Create confirmed export request that packages authorized metadata source files derived results consent and audit data,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-D013,"Export includes all authorized user data, reports provider failures safely, and creates an audit event",backend privacy,"backend/src/main/java/za/co/folio/api","docs/BACKEND.md 5 9; docs/PRD.md Privacy and audit"
FOLIO-D067,Task,Implement deletion request and retention exceptions,Add confirmation status tracking legal hold or retention exception handling object cleanup and derived-index cleanup,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-D013,"Deletion is retryable, removes source and derived retrieval visibility, preserves required audit record, and respects exceptions",backend privacy,"backend/src/main/java/za/co/folio/api","docs/BACKEND.md 5 9; docs/ROADMAP.md 3.3"
FOLIO-D068,Task,Add sensitive log redaction and telemetry policy,Redact credentials tokens raw document content full prompts model responses and sensitive fields from application logs,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-D064,"Automated log tests prove forbidden values are absent while request IDs and safe error categories remain",backend security operations,"backend/src/main/java/za/co/folio; backend/src/main/resources","docs/BACKEND.md 6 9; docs/DEVELOPMENT.md 10"
FOLIO-D069,Epic,Quality security and release readiness,Establish accessibility end-to-end security observability deployment and pilot release gates,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-D055,"Release checklist and evidence are attached to the pilot readiness review",release qa,"docs; CI/CD; backend; frontend","docs/DEVELOPMENT.md 6 8 11; docs/ROADMAP.md 3.4"
FOLIO-D070,Task,Complete frontend accessibility regression review,Test keyboard focus semantic landmarks dialog focus status announcements contrast labels and 320px to 1440px layouts,Operations and Privacy,High,Planned,Sprint 3,FOLIO-D031,"Core journeys pass keyboard and screen-reader review with no horizontal overflow or unlabeled controls",qa accessibility,"frontend/src/components/FolioApp.tsx; frontend/app/globals.css","docs/FRONTEND.md 5; docs/DEVELOPMENT.md 8; docs/ROADMAP.md 0.2"
FOLIO-D071,Task,Add end-to-end synthetic student journey,Automate sign-in upload process detail Q&A deadline security export and deletion flows using synthetic documents,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-D067,"Synthetic journey passes on local and preview environments; no real student data or production credentials are used",qa e2e,"frontend; backend","docs/DEVELOPMENT.md 8; docs/ROADMAP.md 1 exit gate"
FOLIO-D072,Task,Add IDOR and cross-user API security tests,Exercise list detail preview download Q&A consent export and deletion endpoints with two synthetic users,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-D063,"Cross-user access returns generic unauthorized behavior and never reveals existence or timing differences",qa security,"backend/src/test","docs/BACKEND.md 6 8; docs/PRD.md Functional requirements"
FOLIO-D073,Task,Add observability metrics and alerts,Track request latency error rate queue depth stage duration retries confidence citation coverage abstention storage and model cost,Operations and Privacy,High,Planned,Sprint 3,FOLIO-D064,"Metrics exclude sensitive content; request IDs connect API and worker logs; readiness and queue-growth alerts fire in tests",operations observability,"backend/src/main/java/za/co/folio; docs/RAILWAY.md","docs/BACKEND.md 9; docs/PRD.md Non-functional requirements"
FOLIO-D074,Task,Create backups restore and incident runbooks,Document and test database restore credential compromise storage exposure queue poisoning provider outage extraction error and POPIA request procedures,Operations and Privacy,High,Planned,Sprint 3,FOLIO-D073,"Restore drill succeeds; each runbook has owner trigger steps validation rollback and escalation",operations resilience,"docs/RAILWAY.md; docs","docs/BACKEND.md 9; docs/ROADMAP.md 3.4"
FOLIO-D075,Task,Validate Railway deployment configuration,Verify frontend backend PostgreSQL services environment variables health checks CORS TLS and migration execution on Railway,Operations and Privacy,High,Planned,Sprint 3,FOLIO-D074,"Preview deployment builds from repository root; /api/health is reachable; no secret appears in logs; migrations are evidenced",devops deployment,"vercel.json; docker-compose.yml; docs/RAILWAY.md","docs/RAILWAY.md; README.md"
FOLIO-D076,Task,Run pilot readiness review and assign owners,Review security privacy support ownership metrics cost rollback and unresolved provider decisions before real cohort,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-D071; FOLIO-D072; FOLIO-D074; FOLIO-D075,"Pilot gate has explicit approve or block decision, named owners for every critical risk, and no real student data is enabled prematurely",release governance,"docs/progress.md; docs/ROADMAP.md","docs/ROADMAP.md 3 exit criteria; docs/DEVELOPMENT.md 11"
